Spanish,English
que,that
de,from
no,no
a,to
la,the
el,the
es,is
y,and
en,in
lo,it
un,a
por,for
qué,what
me,I
una,a
te,tea
los,the
se,I know
con,with
para,for
mi,me
está,this
bien,good
pero,but
yo,me
eso,that
las,the
sí,yes
su,his
tu,you
aquí,here
del,of
al,to the
como,What
le,you
más,plus
esto,this
ya,already
todo,everything
esta,is
vamos,Let's go
muy,very
hay,there are
ahora,now
algo,something
estoy,I'm
tengo,I have
nos,us
tú,your
nada,any
cuando,when
ha,he has
este,this
sé,he
estás,these
así,So
puedo,may l
cómo,What
quiero,I want
sólo,alone
soy,am
tiene,has
gracias,Thank you
o,or
él,he
bueno,Okay
fue,it was
ser,to be
hacer,do
son,are
todos,everybody
era,it was
eres,are
vez,time
tienes,have
creo,I believe
ella,her
he,He.
ese,that
voy,I go
puede,may
sabes,know
hola,hello
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,want
casa,House
favor,favor
esa,that
dos,two
tan,so
señor,Mister
tiempo,weather
verdad,truth
estaba,I was
mejor,better
están,is it so
va,he
hombre,man
usted,you
mucho,much
hace,does
entonces,then
siento,I feel
tenemos,we have
puedes,can
ahí,there
ti,you
vida,life
ver,see
alguien,someone
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,about
decir,tell
uno,one
siempre,forever
oh,Oh
ir,go
cosas,things
también,too
antes,before
has,HAS.
ni,neither
mis,my
día,day
estar,be
estamos,we're
noche,night
nadie,no one
otra,other
quiere,wants
parece,It seems
nosotros,us
poco,little bit
padre,dad
trabajo,job
gente,people
mira,look
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,they
dijo,He said
pasa,happens
dinero,money
hijo,son
tal,such
otro,other
hablar,speak
seguro,sure
claro,Clear
estas,are
lugar,place
mundo,world
amigo,friend
espera,waiting
mierda,shit
han,they have
tus,your
sabe,knows
después,after
momento,moment
desde,from
fuera,out of
cosa,thing
tipo,type
mañana,morning
podemos,we can
dije,said
gran,great
necesito,needed
estado,condition
podría,might
acuerdo,agreement
papá,father
tener,have
dice,He says
mío,Own
crees,you think
buena,good
gusta,like
nuestro,our
nuevo,new
será,will be
haciendo,making
días,days
nombre,Name
buen,good
había,there was
ven,come
tres,three
menos,less
debe,should
tenía,I had
mal,evil
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,mother
tienen,have
luego,later
todas,all
allí,there
toda,all
hora,hour
mujer,woman
visto,viewed
haces,you do
importa,import
contigo,with you
ve,go
tarde,late
oye,hears
parte,part
haber,to have
hombres,mens
problema,trouble
mas,more
saber,to know
quería,wanted
aún,still
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,made
veo,I see
tanto,so much
razón,reason
ustedes,your
idea,idea
esos,those
van,go
quizá,maybe
debo,I must
alguna,some
cierto,certain
ud,You
muerto,dead
unos,some
estos,these
salir,get out
policía,police
realmente,Really
demasiado,too
familia,family
pueden,may
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,sweetie
lado,side
allá,there
entre,Come in
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,watch out
pasó,He passed
buenas,good
somos,are
amor,love
puerta,door
ves,you see
vaya,Wow
ah,ah
suerte,luck
eh,Hey
rápido,Quick
cuenta,bill
quizás,maybe
esas,those
pues,well
pasado,last
pensé,I thought
todavía,yet
hermano,brother
debes,you should
casi,almost
forma,shape
aqui,here
chico,guy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,within
hice,I did
contra,against
auto,car
camino,road
ayuda,help
primera,first
hacia,toward
vi,saw
miedo,afraid
adiós,bye
primero,first
debería,it should
poder,can
niños,kids
sería,would
historia,history
hey,Hey
mientras,While
ciudad,town
dijiste,said
espero,I hope
cuánto,how many
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,must
deja,let
año,year
muerte,death
hablando,speaking
manos,hands
da,gives
loco,mad
problemas,problems
mano,hand
guerra,war
semana,week
pasar,pass
vale,okay
cuál,which one
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,persons
capitán,captain
adelante,ahead
niño,little boy
listo,ready
noches,nights
buenos,good
iba,I was going
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,near
otros,others
sigue,follow
grande,big
arriba,above
jefe,chief
habla,speaks
supongo,I suppose
manera,manner
quieren,They want.
feliz,happy
significa,it means
sangre,blood
fin,end
bajo,under
llama,call
venir,come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listen
entrar,get in
ningún,No.
corazón,heart
diablos,Devils
necesitamos,we need
atrás,behind
durante,during
dices,You say
nuestros,our
persona,person
abajo,below
dr,Dr.
hija,daughter
dejar,let
necesita,needs to
llegar,arrive
hago,I make
señora,Ms
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,Earth
cara,expensive
siquiera,even
genial,cool
cree,CREE.
supuesto,assumption
tomar,have
equipo,team
justo,just
juego,play
ninguna,none
matar,kill
cinco,five
dicen,they say
amo,love
cuándo,when
pequeño,small
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nails
muchos,Many
hubiera,had
segundo,second
aunque,even if
pueda,can.
dime,tell me
igual,same
comida,meal
ay,Oh
cuerpo,Body
encontrar,meet
fuerte,strong
vuelta,return
venga,come on
creer,believe
realidad,reality
saben,Saben.
puta,bitch
deberías,you should
pregunta,question
fui,I was
cuatro,four
sra,Ms
primer,first
trabajar,to work
e,and
hagas,you do
alto,high
maldita,damn
comer,to eat
número,number
dar,give
necesitas,you need
oportunidad,chance
punto,point
misma,one.
última,last.
afuera,outside
mujeres,women
pensar,think
fueron,They were
difícil,hard
vivir,to live
paso,He passed
malo,bad
estabas,You were there
vivo,alive
haga,make
queda,is left over
hijos,children
mayor,higher
fiesta,party
hacen,make
medio,medium
algunas,some
basta,Enough
arma,weapon
vino,wine
meses,months
cuarto,bedroom
éste,this
escuela,school
esté,this
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,were
carajo,Carajo.
final,final
lista,ready
trata,about
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
podía,I could
bastante,Quite
seguridad,security
pasando,going
esperando,waiting
acá,here
teléfono,telephone
perro,dog
fuego,fire
murió,he died
tampoco,either
sola,alone
estuvo,he was
verte,to see you
iré,I will go
tenido,Dyed
culpa,guilt
veras,you'll see
adónde,where to
buscando,searching
cuanto,how much
padres,fathers
paz,peace
demonios,demons
estará,will be
cual,which
perdón,sorry
asi,So
jugar,play
pensando,thinking
esperar,expect
sabemos,we know
recuerdo,memory
par,pair
joven,young
seguir,"follow, continue"
pueblo,town
tenga,have
caballeros,gentlemen
idiota,moron
dio,gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,ours
plan,plan
pienso,I think
sentido,sense
dormir,sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
entiendes,you understand
país,country
seis,six
último,latest
ésta,is
diga,SIGE.
podrías,could you
pequeña,little
cállate,shut
trato,treatment
rey,King
sucede,happens
muchachos,Boys
jamás,Never
cama,bed
srta,Ms
ayudar,help
acerca,about
di,gave
cambio,change
falta,lack
hospital,hospital
lleva,carries
presidente,President
mil,thousand
gusto,taste
conoces,you know
diciendo,saying
os,you
ido,gone
general,general
extraño,strange
semanas,weeks
coche,car
peor,worse
mucha,a lot
disculpe,excuse me
diré,I'll say
anoche,last night
perder,to lose
vámonos,Let's go
nave,ship
cielo,sky
habrá,there will be
orden,order
segura,safe
querida,Dear
niña,girl
increíble,incredible
además,further
deben,they should
